folio_ageb,entidad,alcaldia,localidad,pob,tot_pobres,IDSM,E_IDS_V
9.01202E+11,9,12,237,34,34,0.6063189,Muy bajo
9.01302E+11,9,13,182,4,4,0.6067079,Muy bajo
9.007E+11,9,7,1,5,4,0.6079333,Muy bajo
9.00801E+11,9,8,75,9,9,0.6080251,Muy bajo
9.00903E+11,9,9,284,66,66,0.6081697,Muy bajo
9.01204E+11,9,12,401,5,5,0.6090928,Muy bajo
9.01101E+11,9,11,111,24,24,0.6096952,Muy bajo
9.01302E+11,9,13,232,123,122,0.6123172,Muy bajo
9.01101E+11,9,11,110,2935,2907,0.6124166,Muy bajo
9.01204E+11,9,12,421,3,3,0.6135029,Muy bajo
9.00904E+11,9,9,355,51,51,0.6136613,Muy bajo
9.01303E+11,9,13,285,43,40,0.6139794,Muy bajo
9.00904E+11,9,9,379,6,6,0.614432,Muy bajo
9.00903E+11,9,9,321,13,13,0.6152148,Muy bajo
9.00401E+11,9,4,79,2,2,0.6155242,Muy bajo
9.01204E+11,9,12,378,43,43,0.6170307,Muy bajo
9.01204E+11,9,12,420,38,38,0.6173402,Muy bajo
9.00901E+11,9,9,88,195,189,0.6179235,Muy bajo
9.00904E+11,9,9,356,20,20,0.6179511,Muy bajo
9.00801E+11,9,8,102,1,1,0.6180567,Muy bajo
9.00901E+11,9,9,67,182,174,0.6190469,Muy bajo
9.00901E+11,9,9,112,153,153,0.6195581,Muy bajo
9.00903E+11,9,9,271,34,33,0.6195694,Muy bajo
9.01101E+11,9,11,87,90,90,0.6195909,Muy bajo
9.00904E+11,9,9,390,17,17,0.6199596,Muy bajo
9.011E+11,9,11,1,18,18,0.6205493,Muy bajo
9.01302E+11,9,13,157,707,694,0.6213732,Muy bajo
9.00901E+11,9,9,98,35,35,0.6214457,Muy bajo
9.00904E+11,9,9,393,2,2,0.6216963,Muy bajo
9.00902E+11,9,9,172,48,46,0.6221972,Muy bajo
9.01303E+11,9,13,294,27,27,0.622241,Muy bajo
9.00801E+11,9,8,83,451,448,0.6223375,Muy bajo
9.00904E+11,9,9,411,8,8,0.6228375,Muy bajo
9.00903E+11,9,9,274,12,12,0.6230057,Muy bajo
9.01002E+11,9,10,214,12,12,0.6231246,Muy bajo
9.00902E+11,9,9,207,59,54,0.6234975,Muy bajo
9.01302E+11,9,13,249,113,113,0.6235447,Muy bajo
9.00901E+11,9,9,52,102,98,0.6238691,Muy bajo
9.00904E+11,9,9,396,5,5,0.6245513,Muy bajo
9.01303E+11,9,13,251,54,54,0.6247673,Muy bajo
9.012E+11,9,12,1,264,261,0.624963,Muy bajo
9.00903E+11,9,9,283,50,45,0.6265651,Muy bajo
9.009E+11,9,9,29,159,151,0.6270792,Muy bajo
9.01102E+11,9,11,158,19,19,0.6283023,Muy bajo
9.01204E+11,9,12,365,4,4,0.6291646,Muy bajo
9.00902E+11,9,9,176,359,340,0.6294019,Muy bajo
9.00902E+11,9,9,195,143,143,0.6298962,Muy bajo
9.00902E+11,9,9,226,13,12,0.6303893,Muy bajo
9.00801E+11,9,8,101,15,13,0.6319978,Muy bajo
9.00904E+11,9,9,407,37,36,0.6324255,Muy bajo
9.01201E+11,9,12,130,69,68,0.6326747,Muy bajo
9.01301E+11,9,13,96,203,198,0.632678,Muy bajo
9.01204E+11,9,12,422,41,41,0.6328698,Muy bajo
9.00901E+11,9,9,129,36,36,0.6334329,Muy bajo
9.00904E+11,9,9,361,70,68,0.63348,Muy bajo
9.01204E+11,9,12,376,234,216,0.6345807,Muy bajo
9.01303E+11,9,13,290,60,55,0.6348246,Muy bajo
9.01204E+11,9,12,394,160,159,0.634954,Muy bajo
9.00903E+11,9,9,275,38,34,0.6350313,Muy bajo
9.01301E+11,9,13,111,30,29,0.6354111,Muy bajo
9.00902E+11,9,9,155,123,119,0.6358423,Muy bajo
9.01301E+11,9,13,134,607,587,0.6361109,Muy bajo
9.00401E+11,9,4,74,173,161,0.6364832,Muy bajo
9.01204E+11,9,12,399,239,235,0.6367153,Muy bajo
9.00904E+11,9,9,408,2,2,0.6373523,Muy bajo
9.01302E+11,9,13,246,27,25,0.6373889,Muy bajo
9.00901E+11,9,9,109,65,61,0.6376315,Muy bajo
9.01303E+11,9,13,280,10,10,0.6378435,Muy bajo
9.01204E+11,9,12,351,128,124,0.6385369,Muy bajo
9.01301E+11,9,13,146,204,199,0.6390403,Muy bajo
9.01203E+11,9,12,290,793,775,0.6390409,Muy bajo
9.01201E+11,9,12,140,4,4,0.639946,Muy bajo
9.00902E+11,9,9,234,36,36,0.6407311,Muy bajo
9.01203E+11,9,12,283,31,31,0.6408334,Muy bajo
9.00801E+11,9,8,104,62,62,0.6412162,Muy bajo
9.01302E+11,9,13,243,227,218,0.6413283,Muy bajo
9.01303E+11,9,13,263,62,62,0.6417848,Muy bajo
9.01302E+11,9,13,202,855,833,0.641865,Muy bajo
9.00904E+11,9,9,373,65,63,0.6430503,Muy bajo
9.017E+11,9,17,1,1927,1837,0.6442033,Muy bajo
9.00901E+11,9,9,103,222,214,0.6445782,Muy bajo
9.01302E+11,9,13,231,353,349,0.6447185,Muy bajo
9.01201E+11,9,12,144,532,518,0.6449053,Muy bajo
9.00801E+11,9,8,107,2,2,0.6454369,Muy bajo
9.01101E+11,9,11,72,110,109,0.6456572,Muy bajo
9.00903E+11,9,9,266,144,141,0.6458583,Muy bajo
9.01302E+11,9,13,151,48,44,0.6458915,Muy bajo
9.00903E+11,9,9,347,21,21,0.6460401,Muy bajo
9.015E+11,9,15,1,679,614,0.6460536,Muy bajo
9.007E+11,9,7,1,7854,7451,0.646163,Muy bajo
9.00903E+11,9,9,264,49,46,0.6468675,Muy bajo
9.01303E+11,9,13,262,44,44,0.647077,Muy bajo
9.01301E+11,9,13,143,105,105,0.6473852,Muy bajo
9.01302E+11,9,13,183,2,2,0.6478137,Muy bajo
9.01101E+11,9,11,149,152,146,0.648599,Muy bajo
9.00903E+11,9,9,278,63,56,0.6486424,Muy bajo
9.00801E+11,9,8,71,7,5,0.6489931,Muy bajo
9.015E+11,9,15,1,4396,4102,0.649242,Muy bajo
9.00901E+11,9,9,141,11,11,0.6494282,Muy bajo
9.013E+11,9,13,1,647,613,0.6495688,Muy bajo
9.00904E+11,9,9,366,14,14,0.6495715,Muy bajo
9.00902E+11,9,9,167,299,287,0.6502687,Muy bajo
9.00902E+11,9,9,161,300,283,0.6505193,Muy bajo
9.00904E+11,9,9,369,10,9,0.6506723,Muy bajo
9.011E+11,9,11,24,74,72,0.6509027,Muy bajo
9.00904E+11,9,9,382,2,2,0.6512375,Muy bajo
9.01303E+11,9,13,275,42,42,0.6514336,Muy bajo
9.01202E+11,9,12,168,1036,982,0.6518261,Muy bajo
9.01203E+11,9,12,335,7,7,0.6519961,Muy bajo
9.01101E+11,9,11,145,240,235,0.6524929,Muy bajo
